"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:04512"	"ECM-receptor interaction"	"12/1037"	"84/21796"	0.00060324687476343	0.132111065573191	"1292;1301;2335;3655;3672;3678;3685;3910;3912;5649;7148;960"	"10319;1101;1277;1278;1280;1281;1282;1284;1286;1288;1289;1290;1291;1292;1293;1301;1302;1311;131873;1605;22798;22801;22987;2335;2811;2812;2814;2815;284217;3161;3339;3371;3381;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;375790;3908;3909;3910;3911;3912;3913;3914;3915;3918;50509;51206;5649;6382;6383;6385;63923;6696;7057;7058;7059;7060;7143;7148;7448;7450;8515;8516;948;960;961;9672;9899;9900"
"path:04970"	"Salivary secretion"	"11/1037"	"86/21796"	0.0025017205892639	0.228134673915337	"1470;2778;2977;2982;3709;55503;5592;6844;801;805;820"	"107;108;109;111;112;113;1131;114;115;146;1469;147;1470;1471;1472;1473;148;153;154;155;163688;1755;196883;23236;23439;2776;2778;2977;2982;2983;3346;362;3708;3709;3710;3778;3783;4025;4069;4589;476;477;478;480;481;482;483;4842;486;490;491;492;493;51806;5330;5331;5332;54831;5542;55503;5554;5555;5566;5567;5568;5578;5579;5582;5592;5593;5613;6263;6522;653247;6548;6558;6779;683;6844;727897;801;805;808;810;820;952"
"path:04510"	"Focal adhesion"	"19/1037"	"199/21796"	0.00312513251938817	0.228134673915337	"1292;1301;208;2335;2534;3479;3655;3672;3678;3685;3910;3912;5649;5728;60;6655;7148;7410;858"	"10000;10298;10319;103910;10398;10451;10627;1101;1277;1278;1280;1281;1282;1284;1286;1288;1289;1290;1291;1292;1293;1301;1302;1311;131873;1398;1399;1499;1729;1793;1950;1956;2002;2064;207;208;2277;22798;22801;2316;2317;2318;2321;2324;2335;23533;2534;25759;284217;2885;2889;2909;2932;29780;29895;3082;3265;329;330;331;3371;3381;3479;3480;3611;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;3725;3791;387;3908;3909;3910;3911;3912;3913;3914;3915;3918;394;399694;4233;4633;4636;4638;4659;50509;5058;5062;5063;5154;5155;5156;5159;5170;5228;5290;5291;5293;5294;5295;5296;53358;5499;5500;5501;55742;5578;5579;5582;5594;5595;5599;5601;5602;56034;5604;5605;5649;56924;57144;572;5728;5747;5829;58498;5879;5880;5881;5894;5906;5908;5923;595;596;60;6093;63923;64098;6464;6654;6655;6696;6714;673;7057;7058;7059;7060;7094;71;7143;7148;7408;7409;7410;7414;7422;7423;7424;7448;7450;7791;80310;81;824;83660;8503;8515;8516;85366;857;858;859;87;88;89;894;896;91807;93408;9475;9564;998"
"path:04730"	"Long-term depression"	"9/1037"	"70/21796"	0.00578681411353954	0.31682807271629	"2778;2977;2982;3479;3709;5322;5592;81579;84647"	"100137049;10672;10842;123745;1392;1394;23236;26279;2767;2768;2770;2771;2773;2775;2776;2778;2781;2890;2891;2892;2895;2911;2915;2977;2982;2983;30814;3265;3479;3480;369;3708;3709;3710;3845;391013;4067;4842;4893;50487;5319;5320;5321;5322;5330;5331;5332;5515;5516;5518;5519;5578;5579;5582;5592;5593;5594;5595;5604;5605;5894;6261;64600;673;773;81579;8398;8399;84647;8681"
"path:04664"	"Fc epsilon RI signaling pathway"	"9/1037"	"75/21796"	0.00906108638715897	0.396875583757563	"208;2205;2534;5322;6655;7410;81579;84647;9846"	"10000;100137049;10451;123745;1432;1437;207;208;2205;2206;2207;23533;2534;26279;27040;2885;30814;3265;3562;3565;3567;3596;3635;3845;391013;3937;4067;4893;50487;5163;5290;5291;5293;5294;5295;5296;5319;5320;5321;5322;5335;5336;5594;5595;5599;5600;5601;5602;5603;5604;5605;5606;5608;5609;5879;5880;5881;5894;6300;6416;64600;6654;6655;6850;695;7124;7409;7410;81579;8398;8399;84647;8503;8681;9846"
"path:05200"	"Pathways in cancer"	"25/1037"	"322/21796"	0.0114927197192318	0.413066100567943	"1027;1050;1869;208;2246;2260;2335;25;26291;3479;354;3576;3655;3685;3716;3910;3912;4286;5728;5915;6655;7042;7046;7175;8321"	"10000;1017;1019;1021;1026;1027;1029;10297;1030;10319;10342;10401;1050;10928;11186;11211;112398;112399;1147;1163;1282;1284;1286;1288;1387;1398;1399;1436;1438;1441;1487;1488;1495;1496;1499;1612;1613;1630;1855;1856;1857;1869;1870;1871;1950;1956;2033;2034;2064;207;208;2122;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;2261;2263;2271;2277;22798;2308;2322;2323;2335;2353;23533;23604;23624;2475;25;2535;26060;26281;26291;27006;27148;2735;2736;2737;284217;2885;29119;2932;2956;3065;3066;3082;3091;324;3265;329;330;331;332;3320;3326;3479;3480;354;355;3551;356;3569;3576;3655;367;3673;3674;3675;3685;3688;369;3716;3725;3728;3815;3845;387;3908;3909;3910;3911;3912;3913;3914;3915;3918;405;4087;4088;4089;4149;4193;4233;4254;4286;4292;4312;4313;4318;4436;4437;4609;4790;4791;4792;4824;4843;4893;4914;51176;51384;5154;5155;5156;51588;5159;51684;5228;5290;5291;5293;5294;5295;5296;5335;5336;5371;54205;54361;54583;5467;5468;5578;5579;5582;5594;5595;5599;5601;5602;5604;5605;572;5727;5728;5743;5747;581;5879;5880;5881;5888;5894;5898;5899;5900;5914;5915;5925;595;596;5970;5979;598;613;6256;6257;6258;637;64399;6469;650;6502;6513;652;652346;6608;6654;6655;6688;673;675;6772;6774;6776;6777;6789;6921;6923;6932;6934;7039;7040;7042;7043;7046;7048;7157;7170;7175;7184;7185;7186;7187;7188;7189;7422;7423;7424;7428;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;7484;7704;7849;7855;7976;8030;8031;80326;8074;81029;8312;8313;8321;8322;8323;8324;8325;8326;83439;83593;836;841;842;8453;8503;8517;8554;861;862;8643;867;868;8772;8817;8822;8823;89780;898;9063;9134;9618;9915;9965;9978;998;999"
"path:05222"	"Small cell lung cancer"	"9/1037"	"83/21796"	0.0169787612868399	0.413066100567943	"1869;208;2335;3655;3685;3910;3912;5728;5915"	"10000;1017;1019;1021;1030;10319;10401;1147;1163;1282;1284;1286;1288;1869;1870;1871;207;208;2272;22798;2335;23533;284217;317;329;330;331;3551;3655;3673;3674;3675;3685;3688;3908;3909;3910;3911;3912;3913;3914;3915;3918;4149;4609;4790;4792;4843;51588;5290;5291;5293;5294;5295;5296;54205;5728;5743;5747;5915;5925;595;596;5970;598;6256;6257;6258;6502;7157;7185;7186;7187;7188;7189;842;8503;8517;8554;898;9063;9134;9618"
"path:00590"	"Arachidonic acid metabolism"	"7/1037"	"57/21796"	0.0179986369072612	0.413066100567943	"239;257202;2878;5322;5740;81579;84647"	"100137049;113612;123745;124975;1555;1557;1558;1559;1562;1571;1573;1579;2053;239;240;242;246;247;257202;26279;2678;2686;2687;27306;284541;2876;2877;2878;2880;2882;30814;391013;4048;4051;4056;50487;5319;5320;5321;5322;5730;5740;5742;5743;64600;6916;80142;81579;8398;8399;84647;8529;8644;8681;873;874;9536"
"path:05218"	"Melanoma"	"8/1037"	"71/21796"	0.0192160349232223	0.413066100567943	"1869;208;2246;2260;26291;3479;4286;5728"	"10000;1019;1021;1026;1029;1869;1870;1871;1950;1956;207;208;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;23533;26281;26291;27006;3082;3265;3479;3480;369;3845;4193;4233;4286;4893;5154;5155;5156;5159;5290;5291;5293;5294;5295;5296;5594;5595;56034;5604;5605;572;5728;5894;5925;595;673;7157;80310;8074;8503;8817;8822;8823;9965;999"
"path:05414"	"Dilated cardiomyopathy"	"9/1037"	"85/21796"	0.0195699133597274	0.413066100567943	"2778;3479;3655;3672;3678;3685;60;7042;7169"	"10368;10369;107;108;109;111;112;113;114;115;153;1605;1674;1756;196883;2010;22801;27091;27092;2778;3479;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;4000;4607;4633;4634;5350;5566;5567;5568;55799;5613;59283;59284;59285;60;6262;6442;6443;6444;6445;70;7040;7042;7043;71;7124;7134;7137;7139;7168;7169;7170;7171;7273;775;776;778;779;781;782;783;784;785;786;8515;8516;9254;93589"
