"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:00590"	"Arachidonic acid metabolism"	"8/937"	"57/21796"	0.0028874042031215	0.466201942990816	"1558;2876;2878;5319;5322;81579;8529;8644"	"100137049;113612;123745;124975;1555;1557;1558;1559;1562;1571;1573;1579;2053;239;240;242;246;247;257202;26279;2678;2686;2687;27306;284541;2876;2877;2878;2880;2882;30814;391013;4048;4051;4056;50487;5319;5320;5321;5322;5730;5740;5742;5743;64600;6916;80142;81579;8398;8399;84647;8529;8644;8681;873;874;9536"
"path:04530"	"Tight junction"	"13/937"	"131/21796"	0.0042575519907837	0.466201942990816	"10207;10627;1496;3993;4620;4633;4893;49861;5521;60;84552;88;9071"	"10000;1019;10207;103910;10398;10627;10686;11336;1364;1365;1366;137075;1457;1459;1460;149461;1495;1496;1499;150084;154810;2017;2035;2036;2037;207;208;22800;22808;22989;23136;23562;24146;260425;26285;27134;2770;2771;2773;29119;29895;3059;3265;3845;387;3993;3996;4301;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;4633;4636;4893;4950;49861;5010;50848;50855;51208;51776;53842;5515;5516;5518;5519;5520;5521;5522;5578;5579;5580;5581;5582;5583;5584;55844;55870;5588;5590;56288;5728;57530;57644;58494;58498;5865;5872;60;60412;6237;64398;6714;7082;71;7122;7525;79784;81;8189;83700;84552;84612;8531;8573;87;8735;8777;88;89;9071;9073;9074;9075;9076;9080;9218;9223;92359;93408;93643;9414;9863;998"
"path:04730"	"Long-term depression"	"8/937"	"70/21796"	0.0101379529276602	0.653205755764261	"2778;2977;3479;4893;5319;5322;6261;81579"	"100137049;10672;10842;123745;1392;1394;23236;26279;2767;2768;2770;2771;2773;2775;2776;2778;2781;2890;2891;2892;2895;2911;2915;2977;2982;2983;30814;3265;3479;3480;369;3708;3709;3710;3845;391013;4067;4842;4893;50487;5319;5320;5321;5322;5330;5331;5332;5515;5516;5518;5519;5578;5579;5582;5592;5593;5594;5595;5604;5605;5894;6261;64600;673;773;81579;8398;8399;84647;8681"
"path:05220"	"Chronic myeloid leukemia"	"8/937"	"72/21796"	0.0119306987354203	0.653205755764261	"1027;1029;1487;1488;25;4893;7042;7046"	"10000;1019;1021;1026;1027;1029;1147;1398;1399;1487;1488;1869;1870;1871;207;208;2122;23533;23624;25;25759;2885;3065;3066;3265;3551;369;3845;399694;4089;4193;4609;4790;4792;4893;5290;5291;5293;5294;5295;5296;53358;5594;5595;5604;5605;572;5781;5894;5925;595;5970;598;613;6464;6654;6655;673;6776;6777;7040;7042;7043;7046;7048;7157;8503;8517;861;867;868;9846"
"path:00510"	"N-Glycan biosynthesis"	"6/937"	"48/21796"	0.0163569437120855	0.674391084124484	"11253;1650;6185;79868;8813;91869"	"10195;10905;11253;11282;11320;144245;146664;1603;1650;1798;199857;201595;22845;23193;2530;25834;2683;29880;29929;3703;4121;4122;4124;4245;4247;4248;4249;440138;54344;56052;57134;57171;6184;6185;6480;7841;79053;79087;79796;79868;7991;84920;85365;8703;8704;8813;8818;91869"
"path:00563"	"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	"4/937"	"25/21796"	0.0208890284769729	0.674391084124484	"10026;51227;51604;9487"	"10026;128869;23556;2822;284098;51227;51604;5277;5279;5281;5283;54872;54965;55650;80055;80235;84720;84992;8733;8818;9091;93183;94005;9487;9488"
"path:00604"	"Glycosphingolipid biosynthesis - ganglio series"	"3/937"	"15/21796"	0.0244694895128634	0.674391084124484	"256435;27090;30815"	"256435;2583;27090;2720;29906;3073;3074;30815;6482;6483;6489;81849;8705;8869;9197"
"path:03320"	"PPAR signaling pathway"	"7/937"	"67/21796"	0.0246352907442734	0.674391084124484	"10580;1375;1582;1622;2181;2712;33"	"10062;10580;10998;10999;11001;116519;126129;1374;1375;1376;1579;1581;1582;1593;1622;1962;2167;2168;2169;2170;2171;2172;2173;2180;2181;2182;23305;2710;2712;284541;28965;30;33;335;336;34;345;3611;364;376497;4023;4312;4973;51;5105;5106;51129;5170;51703;5346;5360;5465;5467;5468;6256;6257;6258;6319;6342;7316;7350;79966;8309;8310;9370;9415;948"
"path:05414"	"Dilated cardiomyopathy"	"8/937"	"85/21796"	0.0296389727691025	0.721215004048162	"2778;3479;3678;4633;60;6262;7042;7169"	"10368;10369;107;108;109;111;112;113;114;115;153;1605;1674;1756;196883;2010;22801;27091;27092;2778;3479;3655;3672;3673;3674;3675;3676;3678;3679;3680;3685;3688;3690;3691;3693;3694;3695;3696;4000;4607;4633;4634;5350;5566;5567;5568;55799;5613;59283;59284;59285;60;6262;6442;6443;6444;6445;70;7040;7042;7043;71;7124;7134;7137;7139;7168;7169;7170;7171;7273;775;776;778;779;781;782;783;784;785;786;8515;8516;9254;93589"
"path:00591"	"Linoleic acid metabolism"	"4/937"	"29/21796"	0.0342874931414551	0.750896099797866	"1558;5319;5322;81579"	"100137049;123745;1544;1551;1557;1558;1559;1562;1571;1573;1576;1577;246;26279;30814;391013;50487;5319;5320;5321;5322;57016;64600;64816;81579;8398;8399;84647;8681"
