"pathwayId"	"pathwayName"	"annMoleculeRatio"	"annBgRatio"	"pvalue"	"fdr"	"annMoleculeList"	"annBgMoleculeList"
"path:04730"	"Long-term depression"	"15/1419"	"70/21796"	3.57549711809124e-05	0.00783033868861982	"10842;2767;2778;2891;2977;2982;3709;4893;5319;5322;5518;5592;6261;81579;84647"	"100137049;10672;10842;123745;1392;1394;23236;26279;2767;2768;2770;2771;2773;2775;2776;2778;2781;2890;2891;2892;2895;2911;2915;2977;2982;2983;30814;3265;3479;3480;369;3708;3709;3710;3845;391013;4067;4842;4893;50487;5319;5320;5321;5322;5330;5331;5332;5515;5516;5518;5519;5578;5579;5582;5592;5593;5594;5595;5604;5605;5894;6261;64600;673;773;81579;8398;8399;84647;8681"
"path:03320"	"PPAR signaling pathway"	"10/1419"	"67/21796"	0.0110283525521516	0.749889996826993	"10062;10580;1375;1622;2167;2181;23305;33;335;376497"	"10062;10580;10998;10999;11001;116519;126129;1374;1375;1376;1579;1581;1582;1593;1622;1962;2167;2168;2169;2170;2171;2172;2173;2180;2181;2182;23305;2710;2712;284541;28965;30;33;335;336;34;345;3611;364;376497;4023;4312;4973;51;5105;5106;51129;5170;51703;5346;5360;5465;5467;5468;6256;6257;6258;6319;6342;7316;7350;79966;8309;8310;9370;9415;948"
"path:04710"	"Circadian rhythm - mammal"	"5/1419"	"22/21796"	0.0120491352849958	0.749889996826993	"5187;6095;8863;8945;9575"	"1407;1408;1453;1454;23291;26224;406;4862;5187;6095;6096;6097;6500;79365;8454;8553;8863;8864;8945;9572;9575;9978"
"path:00511"	"Other glycan degradation"	"4/1419"	"16/21796"	0.0173157112091051	0.749889996826993	"10825;4125;4758;4759"	"10825;129807;175;23324;2517;2519;2629;2720;3073;3074;4123;4125;4126;4758;4759;64772"
"path:05200"	"Pathways in cancer"	"31/1419"	"322/21796"	0.0191010277142728	0.749889996826993	"1027;1029;10342;1050;1441;1496;1613;1869;208;2246;25;3655;3685;3716;3912;4087;4318;4843;4893;51684;5728;581;5915;7046;7175;7471;7480;80326;8321;8643;998"	"10000;1017;1019;1021;1026;1027;1029;10297;1030;10319;10342;10401;1050;10928;11186;11211;112398;112399;1147;1163;1282;1284;1286;1288;1387;1398;1399;1436;1438;1441;1487;1488;1495;1496;1499;1612;1613;1630;1855;1856;1857;1869;1870;1871;1950;1956;2033;2034;2064;207;208;2122;2246;2247;2248;2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;2260;2261;2263;2271;2277;22798;2308;2322;2323;2335;2353;23533;23604;23624;2475;25;2535;26060;26281;26291;27006;27148;2735;2736;2737;284217;2885;29119;2932;2956;3065;3066;3082;3091;324;3265;329;330;331;332;3320;3326;3479;3480;354;355;3551;356;3569;3576;3655;367;3673;3674;3675;3685;3688;369;3716;3725;3728;3815;3845;387;3908;3909;3910;3911;3912;3913;3914;3915;3918;405;4087;4088;4089;4149;4193;4233;4254;4286;4292;4312;4313;4318;4436;4437;4609;4790;4791;4792;4824;4843;4893;4914;51176;51384;5154;5155;5156;51588;5159;51684;5228;5290;5291;5293;5294;5295;5296;5335;5336;5371;54205;54361;54583;5467;5468;5578;5579;5582;5594;5595;5599;5601;5602;5604;5605;572;5727;5728;5743;5747;581;5879;5880;5881;5888;5894;5898;5899;5900;5914;5915;5925;595;596;5970;5979;598;613;6256;6257;6258;637;64399;6469;650;6502;6513;652;652346;6608;6654;6655;6688;673;675;6772;6774;6776;6777;6789;6921;6923;6932;6934;7039;7040;7042;7043;7046;7048;7157;7170;7175;7184;7185;7186;7187;7188;7189;7422;7423;7424;7428;7471;7472;7473;7474;7475;7476;7477;7478;7479;7480;7481;7482;7483;7484;7704;7849;7855;7976;8030;8031;80326;8074;81029;8312;8313;8321;8322;8323;8324;8325;8326;83439;83593;836;841;842;8453;8503;8517;8554;861;862;8643;867;868;8772;8817;8822;8823;89780;898;9063;9134;9618;9915;9965;9978;998;999"
"path:04530"	"Tight junction"	"15/1419"	"131/21796"	0.0234182265031486	0.749889996826993	"1496;208;23136;24146;4619;4626;4893;5518;5521;5728;60;88;9075;9080;998"	"10000;1019;10207;103910;10398;10627;10686;11336;1364;1365;1366;137075;1457;1459;1460;149461;1495;1496;1499;150084;154810;2017;2035;2036;2037;207;208;22800;22808;22989;23136;23562;24146;260425;26285;27134;2770;2771;2773;29119;29895;3059;3265;3845;387;3993;3996;4301;4619;4620;4621;4622;4624;4625;4626;4627;4628;4629;4633;4636;4893;4950;49861;5010;50848;50855;51208;51776;53842;5515;5516;5518;5519;5520;5521;5522;5578;5579;5580;5581;5582;5583;5584;55844;55870;5588;5590;56288;5728;57530;57644;58494;58498;5865;5872;60;60412;6237;64398;6714;7082;71;7122;7525;79784;81;8189;83700;84552;84612;8531;8573;87;8735;8777;88;89;9071;9073;9074;9075;9076;9080;9218;9223;92359;93408;93643;9414;9863;998"
"path:00790"	"Folate biosynthesis"	"3/1419"	"11/21796"	0.0306210021633262	0.749889996826993	"249;251;8836"	"1719;2356;248;249;250;251;2643;5805;5860;6697;8836"
"path:00592"	"alpha-Linolenic acid metabolism"	"4/1419"	"19/21796"	0.031585425951608	0.749889996826993	"5319;5322;81579;84647"	"100137049;123745;26279;30814;391013;50487;51;5319;5320;5321;5322;64600;81579;8310;8398;8399;84647;8681;9415"
"path:00564"	"Glycerophospholipid metabolism"	"10/1419"	"79/21796"	0.0319261554392725	0.749889996826993	"1103;150763;23659;253558;5319;5322;54675;81579;84647;8760"	"100137049;10162;10390;1040;10400;10423;10434;10554;10555;1103;1119;1120;11313;123745;129642;137964;150763;154141;1606;1607;1608;160851;1609;162466;23171;23659;23761;253558;254531;26279;2819;2820;30814;391013;3931;43;50487;5130;5319;5320;5321;5322;5337;5338;54675;54947;55224;55500;56894;56895;56985;56994;57678;5833;64600;6901;79143;79888;81490;81579;8398;8399;8443;84647;84803;8525;8526;8527;85465;8611;8612;8613;8681;8760;9162;9468;9489;9791;9926"
"path:04270"	"Vascular smooth muscle contraction"	"13/1419"	"114/21796"	0.0342415523665294	0.749889996826993	"2767;2778;2977;2982;3709;5319;5322;72;800;801;805;81579;84647"	"100137049;10203;10242;10266;10267;10268;10335;10398;10672;107;108;109;111;112;113;114;115;123745;135;136;140465;146;147;148;157855;1579;163688;185;1909;196883;23236;23365;26279;27094;27345;2767;2768;2776;2778;284541;2977;2982;2983;30814;369;3708;3709;3710;3778;3779;387;391013;4637;4638;4659;4660;4881;4882;50487;51806;5319;5320;5321;5322;5330;5331;5332;5499;5500;5501;552;553;5566;5567;5568;5578;5579;5580;5581;5582;5583;5588;5594;5595;5604;5605;5613;5739;5894;59;6093;64600;673;72;775;776;778;779;800;801;805;808;810;81579;8398;8399;84647;85366;8681;9138;91807;94274;9475;9826"
